Marka,Model,Yıl,Kilometre,Renk,Fiyat,Vites_Tipi
Volkswagen, Golf ,2020,73000,Lacivert,1295000,Otomatik
Volkswagen, Golf ,2010,211000,Siyah,959000,Otomatik
Volkswagen, Golf ,2008,143000,Siyah,950000,Otomatik
Volkswagen, Golf ,2017,163000,Gri,1265000,Otomatik
Volkswagen, Golf ,2012,137000,Beyaz,690000,Otomatik
Volkswagen, Golf ,2011,131100,Beyaz,889000,Otomatik
Volkswagen, Golf ,2016,193000,Füme,975000,Otomatik
Volkswagen, Golf ,2016,173000,Beyaz,910000,Otomatik
Volkswagen, Golf ,2021,29000,Beyaz,1659000,Otomatik
Volkswagen, Golf ,2010,205000,Siyah,729000,Otomatik
Volkswagen, Golf ,2004,272000,Gri,440000,Düz
Volkswagen, Golf ,2015,145000,Beyaz,980000,Otomatik
Volkswagen, Golf ,2014,172000,Beyaz,995000,Otomatik
Volkswagen, Golf ,2024,7000,Gri,1845000,Otomatik
Volkswagen, Golf ,2016,178000,Beyaz,975000,Otomatik
Volkswagen, Golf ,2004,255000,Gri,399750,Düz
Volkswagen, Golf ,2011,230000,Beyaz,749999,Otomatik
Volkswagen, Golf ,2001,180000,Gri,520000,Düz
Volkswagen, Golf ,2018,63500,Beyaz,1215000,Otomatik
Volkswagen, Golf ,2007,195000,Gri (Gümüş),440000,Düz
Volkswagen, Passat ,2013,285000,Gri (metalik),835000,Otomatik
Volkswagen, Passat ,1998,371000,Gri (Gümüş),340000,Düz
Volkswagen, Passat ,2021,95000,Gri,1690000,Otomatik
Volkswagen, Passat ,1997,365000,Yeşil,310000,Düz
Volkswagen, Passat ,2019,36000,Gri,1925000,Otomatik
Volkswagen, Passat ,2019,105555,Gri (Gümüş),970000,Otomatik
Volkswagen, Passat ,2019,264000,Siyah,1150000,Otomatik
Volkswagen, Passat ,2019,235000,Beyaz,1250000,Otomatik
Volkswagen, Passat ,2016,199000,Gri (Gümüş),1385000,Otomatik
Volkswagen, Passat ,2017,188000,Beyaz,1175000,Otomatik
Volkswagen, Passat ,2018,95000,Füme,1450000,Otomatik
Volkswagen, Passat ,2016,161500,Gri,1350000,Otomatik
Volkswagen, Passat ,2006,398000,Siyah,535000,Düz
Volkswagen, Passat ,2020,73000,Beyaz,1700000,Otomatik
Volkswagen, Passat ,2018,217000,Siyah,1385000,Otomatik
Volkswagen, Passat ,2019,205000,Mavi (metalik),1865000,Otomatik
Volkswagen, Passat ,2017,170000,Gri,1340000,Otomatik
Volkswagen, Passat ,2006,317000,Gri,525000,Düz
Volkswagen, Passat ,2019,135000,Beyaz,1515000,Otomatik
Volkswagen, Passat ,2021,112500,Siyah,2047000,Otomatik
Volkswagen, Polo,2009,112000,Gri,678000,Düz
Volkswagen, Polo,2010,172500,Beyaz,599000,Düz
Volkswagen, Polo,2018,86000,Kırmızı,665000,Düz
Volkswagen, Polo,2022,32500,Beyaz,1225000,Otomatik
Volkswagen, Polo,2016,79000,Kırmızı,890000,Otomatik
Volkswagen, Polo,2014,129000,Beyaz,699000,Otomatik
Volkswagen, Polo,2016,112000,Kırmızı,838750,Otomatik
Volkswagen, Polo,2014,193000,Beyaz,535000,Otomatik
Volkswagen, Polo,2017,235000,Beyaz,575000,Otomatik
